"Position","Player Name","Team Name","Nationality","Height","Weight","Age","Condition","Overall Rating"
"CF","F. SANTANDER","BOLOGNA","PARAGUAY",187,84,29,"C",76
"CF","JOHNATHAN","TIANJIN TEDA","BRAZIL",184,74,30,"C",76
"RWF","C. AUZQUI","RIVER PLATE","ARGENTINA",180,74,29,"C",76
"CMF","RECIO","EIBAR AR","SPAIN",183,74,29,"D",76
"RMF","ROCHINA","LEVANTE RA","SPAIN",182,76,29,"C",76
"CF","L. GRIFFITHS","CELTIC","SCOTLAND",170,64,30,"C",76
"CB","K. NABABKIN","CSKA MOSKVA","RUSSIA",184,77,34,"C",76
"GK","GABRIEL","LECCE","BRAZIL",193,90,28,"A",76
"GK","S. TORRICO","SAN LORENZO","ARGENTINA",183,83,40,"C",76
"AMF","ROBINHO","CRUZEIRO","BRAZIL",170,72,33,"C",76
"LB","F. CORDERO","UNIÓN LA CALERA","CHILE",172,71,33,"C",76
"GK","A. AGUERRE","NEWELL'S OLD BOYS","ARGENTINA",181,80,30,"C",76
"CF","ÉDER","LOKOMOTIV MOSKVA","PORTUGAL",190,81,33,"B",76
"CMF","SÉRGIO OLIVEIRA","PORTO","PORTUGAL",181,82,28,"A",76
"CMF","ZECA","KØBENHAVN","GREECE",182,67,32,"B",76
"RB","A. NYOM","GETAFE A","CAMEROON",189,80,32,"B",76
"RB","J. SVENSSON","AZ","NORWAY",170,70,27,"C",76
"LB","B. OCZIPKA","SCHALKE 04","GERMANY",185,85,31,"D",76
"RWF","L. MELGAREJO","RACING CLUB","PARAGUAY",177,75,30,"C",76
"CB","DANILO","BOLOGNA","BRAZIL",185,75,36,"C",76
"CMF","J. MARTIN","RENNES","FRANCE",184,77,30,"C",76
"CB","B. ESPINOSA","GIRONA R","COLOMBIA",192,86,31,"C",76
"LB","N. MURRU","TORINO","ITALY",180,74,26,"D",76
"SS","M. LIVAJA","AEK ATHENS","CROATIA",182,81,27,"C",76
"LB","J. SÁNCHEZ MIÑO","ELCHE BV","ARGENTINA",177,78,30,"C",76
"CB","K. OMERUO","LEGANÉS AB","NIGERIA",185,81,27,"C",76
"LB","C. CAVLAN","EMMEN","NETHERLANDS",175,70,28,"B",76
"CF","D. ROLAN","LA CORUÑA AB","URUGUAY",177,72,27,"C",76
"CB","G. SILVA","HUESCA RA","URUGUAY",185,74,26,"C",76
"LMF","TELLO","SEVILLA TRIANA VB","SPAIN",178,65,29,"C",76
"DMF","ALISON","SANTOS","BRAZIL",182,74,27,"C",76
"AMF","NIKÃO","ATHLETICO PARANAENSE","BRAZIL",174,75,28,"C",76
"CF","RAFAEL SILVA","WUHAN ZALL","BRAZIL",179,73,28,"C",76
"AMF","VINÍCIUS GOES","CEARÁ","BRAZIL",177,75,29,"B",76
"AMF","N. STANCIU","SLAVIA PRAHA","ROMANIA",170,63,27,"C",76
"CF","G. CHARBONNIER","BREST","FRANCE",188,80,32,"B",76
"CMF","ANDRÉ ANDRÉ","VITÓRIA GUIMARÃES","PORTUGAL",177,72,31,"C",76
"CB","PAULO OLIVEIRA","EIBAR AR","PORTUGAL",187,82,28,"D",76
"RB","O. ELABDELLAOUI","GALATASARAY","NORWAY",179,72,29,"B",76
"CB","B. ENGELS","ASTON RB","BELGIUM",194,83,26,"C",76
"GK","A. MCCARTHY","SOUTHAMPTON RW","ENGLAND",193,79,31,"B",76
"RWF","R. GHEZZAL","LEICESTER B","ALGERIA",182,65,28,"C",76
"LB","DANILO AVELAR","CORINTHIANS","BRAZIL",185,79,31,"C",76
"CMF","L. CASTRO","SPAL","ARGENTINA",182,76,31,"C",76
"LWF","V. FISCHER","KØBENHAVN","DENMARK",180,81,26,"C",76
"GK","P. GAZZANIGA","TOTTENHAM WB","ARGENTINA",185,90,28,"C",76
"RWF","LÉO BAPTISTÃO","WUHAN ZALL","BRAZIL",181,72,28,"C",76
"CF","S. BAHOKEN","ANGERS","CAMEROON",185,88,28,"C",76
"DMF","A. WESTWOOD","BURNLEY RB","ENGLAND",170,67,30,"C",76
"CF","C. N'JIE","DINAMO MOSKVA","CAMEROON",175,68,27,"C",76
"RWF","ROSSI","BAHIA","BRAZIL",170,69,27,"C",76
"GK","B. SAMBA","NOTTINGHAM RW","CONGO",186,79,26,"B",76
"LWF","L. JANSON","VÉLEZ SARSFIELD","ARGENTINA",169,67,26,"C",76
"CF","M. WARIS","STRASBOURG","GHANA",172,71,29,"C",76
"LWF","F. ACHEAMPONG","TIANJIN TEDA","GHANA",169,65,27,"C",76
"CB","T. JEDVAJ","BAYER LEVERKUSEN","CROATIA",184,81,25,"C",76
"GK","J. JORONEN","BRESCIA BA","FINLAND",197,89,27,"C",76
"GK","Y. BOUNOU","SEVILLA NERVIÓN BR","MOROCCO",192,78,29,"B",76
"CMF","T. DINGOMÉ","STADE DE REIMS","FRANCE",174,71,29,"C",76
"CB","K. DJIDJI","TORINO","CÔTE D'IVOIRE",184,71,28,"C",76
"CF","R. ALIOUI","ANGERS","MOROCCO",186,82,28,"C",76
"CMF","M. DIEMERS","FEYENOORD","NETHERLANDS",175,70,27,"C",76
"RMF","D. TÜRÜÇ","FENERBAHÇE","TURKEY",177,72,27,"C",76
"LMF","MOI GÓMEZ","VILLARREAL A","SPAIN",176,65,26,"C",76
"RB","B. BERESZYNSKI","SAMPDORIA","POLAND",183,77,28,"D",76
"DMF","S. ILSANKER","Free Agents","AUSTRIA",189,86,31,"C",76
"CB","T. ŠUNJIC","Free Agents","BOSNIA AND HERZEGOVINA",193,88,32,"C",76
"LWF","ÉVERTON","SÃO PAULO","BRAZIL",173,67,32,"C",76
"CB","JEMERSON","MONACO","BRAZIL",184,77,28,"C",76
"GK","WALTER","CORINTHIANS","BRAZIL",188,82,33,"C",76
"CB","S. MITROVIC","STRASBOURG","SERBIA",189,84,30,"D",76
"AMF","D. VALDÉS","Free Agents","CHILE",178,71,26,"C",76
"DMF","C. BAEZA","Free Agents","CHILE",171,64,27,"C",76
"GK","RAFAEL","SPEZIA","BRAZIL",187,80,38,"C",76
"CF","L. DEPOITRE","GENT","BELGIUM",191,91,32,"D",76
"LB","N. PASQUINI","ESTUDIANTES","ARGENTINA",176,76,29,"C",76
"GK","J. LEDESMA","CÁDIZ AA","ARGENTINA",185,83,27,"C",76
"CMF","R. AZEEZ","GRANADA RB","NIGERIA",169,67,28,"D",76
"RB","Y. SABALY","BORDEAUX","SENEGAL",173,68,27,"C",76
"LB","A. MASUAKU","WEST HAM RB","CONGO DR",179,70,27,"B",76
"GK","M. SPORTIELLO","ATALANTA","ITALY",192,87,28,"D",76
"RB","S. WIDMER","BASEL","SWITZERLAND",183,81,27,"C",76
"CMF","J. LUNDSTRAM","SHEFFIELD RB","ENGLAND",181,74,26,"B",76
"CB","M. TISSERAND","FENERBAHÇE","CONGO DR",188,80,27,"C",76
"GK","RUBÉN BLANCO","VIGO AB","SPAIN",188,70,25,"C",76
"CF","DEYVERSON","ÁLAVA AB","BRAZIL",188,82,29,"C",76
"GK","A. MARTÍN ARIAS","UNIÓN LA CALERA","ARGENTINA",185,79,28,"C",76
"RB","MARCELO GOIANO","SIVASSPOR","BRAZIL",176,69,33,"C",76
"LMF","KENEDY","GRANADA RB","BRAZIL",182,77,24,"C",76
"CF","M. BORJA","JUNIOR","COLOMBIA",183,82,27,"D",76
"RWF","ADRI EMBARBA","LLOBREGAT AB","SPAIN",173,66,28,"E",76
"CMF","R. THOMAS","PSV","NEW ZEALAND",174,64,26,"C",76
"GK","FERNANDO MIGUEL","VASCO DA GAMA","BRAZIL",191,87,35,"C",76
"LWF","IVAN CAVALEIRO","FULHAM W","PORTUGAL",175,72,27,"C",76
"CF","E. CRIVELLI","ISTANBUL BASAKSEHIR","FRANCE",184,79,25,"C",76
"CMF","N. BENTALEB","SCHALKE 04","ALGERIA",187,78,26,"D",76
"CF","Y. MUTO","EIBAR AR","JAPAN",178,72,28,"C",76
"LWF","S. MENDOZA","AMIENS","COLOMBIA",171,70,28,"C",76
"LMF","J. SCHLUPP","CRYSTAL PALACE RB","GHANA",178,72,28,"C",76
"DMF","S. MISSIROLI","SPAL","ITALY",191,77,34,"C",76
"LB","N. DIRAR","FENERBAHÇE","MOROCCO",187,86,34,"C",76
"CB","P. DUMMETT","NEWCASTLE WB","WALES",183,77,29,"C",76
"CMF","FRANSÉRGIO","SPORTING BRAGA","BRAZIL",186,80,30,"C",76
"CMF","D. CATALDI","LAZIO","ITALY",180,70,26,"C",76
"CF","KIKE","EIBAR AR","SPAIN",186,79,31,"B",76
"CMF","D. STEPHENS","BRIGHTON WB","ENGLAND",185,71,31,"C",76
"LB","R. GAGLIOLO","PARMA","ITALY",180,75,30,"C",76
"LB","DIEGO RICO","BOURNEMOUTH RB","SPAIN",183,76,27,"A",76
"CB","L. CEPPITELLI","CAGLIARI","ITALY",186,83,31,"C",76
"LB","M. CALDERONI","LECCE","ITALY",183,75,31,"B",76
"CB","F. PISACANE","CAGLIARI","ITALY",178,77,34,"C",76
"DMF","J. GBAMIN","EVERTON B","CÔTE D'IVOIRE",186,83,25,"C",76
"DMF","I. HAYDEN","NEWCASTLE WB","ENGLAND",185,79,25,"C",76
"LMF","P. CAPELLE","ANGERS","FRANCE",181,73,33,"A",76
"LMF","S. BOUFAL","SOUTHAMPTON RW","MOROCCO",170,60,27,"C",76
"GK","JORDI MASIP","VALLADOLID MB","SPAIN",180,76,31,"C",76
"LB","GUILHERME ARANA","ATLÉTICO MINEIRO","BRAZIL",176,70,23,"D",76
"DMF","HÚDSON","FLUMINENSE","BRAZIL",179,73,32,"C",76
"GK","T. DIDILLON","CERCLE BRUGGE","FRANCE",193,84,25,"C",76
"GK","D. RANDOLPH","WEST HAM RB","IRELAND",185,80,33,"C",76
"CB","A. BRIANÇON","NÎMES","FRANCE",185,79,26,"B",76
"RB","A. SMITH","BOURNEMOUTH RB","ENGLAND",180,78,29,"C",76
"CB","F. HELANDER","RANGERS","SWEDEN",192,81,27,"B",76
"DMF","M. ELNENY","ARSENAL","EGYPT",180,70,28,"C",76
"AMF","O. DUDA","Free Agents","SLOVAKIA",181,74,26,"C",76
"CB","M. BANI","BOLOGNA","ITALY",188,78,27,"C",76
"RWF","M. BENÍTEZ","VASCO DA GAMA","ARGENTINA",173,72,26,"C",76
"CF","S. GUIRASSY","RENNES","FRANCE",187,82,24,"B",76
"DMF","I. AMADOU","SEVILLA NERVIÓN BR","FRANCE",183,78,27,"C",76
"LWF","A. HOHBERG","UNIVERSITARIO","PERU",169,73,29,"A",76
"CF","F. ANDONE","BRIGHTON WB","ROMANIA",180,78,27,"C",76
"RWF","F. KAMANO","LOKOMOTIV MOSKVA","GUINEA",175,75,24,"C",76
"CF","SERGIO LEÓN","LEVANTE RA","SPAIN",178,73,31,"C",76
"RB","R. KARSDORP","ROMA","NETHERLANDS",184,80,25,"C",76
"CF","G. BURGSTALLER","SCHALKE 04","AUSTRIA",187,80,31,"C",76
"RWF","J. FUENZALIDA","UNIVERSIDAD CATÓLICA","CHILE",171,67,35,"C",76
"CF","GUSTAVO","INTERNACIONAL","BRAZIL",189,76,26,"C",76
"DMF","WALACE","UDINESE","BRAZIL",188,75,25,"C",76
"CB","I. ORDETS","DINAMO MOSKVA","UKRAINE",194,91,28,"C",76
"RWF","A. EL GHAZI","ASTON RB","NETHERLANDS",189,90,25,"C",76
"CF","SOBRINO","VALENCIA BN","SPAIN",182,73,28,"C",76
"CB","G. FERRARI","SASSUOLO","ITALY",189,82,28,"B",76
"DMF","PERE PONS","ÁLAVA AB","SPAIN",177,70,27,"D",76
"CB","E. CABACO","GETAFE A","URUGUAY",186,84,25,"C",76
"GK","M. DITURO","UNIVERSIDAD CATÓLICA","ARGENTINA",191,87,33,"B",76
"RWF","G. COSTA","COLO COLO","PERU",172,72,30,"C",76
"CMF","S. LUKIC","TORINO","SERBIA",183,77,24,"D",76
"LB","M. TARGETT","ASTON RB","ENGLAND",183,70,25,"C",76
"CF","R. SCHWARTZ","MIDTJYLLAND","DENMARK",181,78,31,"C",76
"CMF","D. BLANCO","INDEPENDIENTE","ARGENTINA",167,63,25,"C",76
"CB","DAVID GARCÍA","PAMPLONA RA","SPAIN",185,72,26,"D",76
"CMF","J. JANKTO","SAMPDORIA","CZECH REPUBLIC",184,74,24,"D",76
"LB","L. AUGUSTINSSON","Free Agents","SWEDEN",181,80,26,"C",76
"LB","A. OYONGO","MONTPELLIER","CAMEROON",176,70,29,"C",76
"AMF","P. MANDALOS","AEK ATHENS","GREECE",176,72,29,"C",76
"DMF","G. CIMIROT","STANDARD LIÈGE","BOSNIA AND HERZEGOVINA",178,70,28,"C",76
"GK","L. CHAVES","ARGENTINOS JUNIORS","ARGENTINA",178,75,25,"C",76
"CB","Y. OSORIO","ZENIT","VENEZUELA",189,77,26,"C",76
"LWF","A. IWOBI","EVERTON B","NIGERIA",180,75,24,"C",76
"GK","S. JOHNSTONE","WEST BROMWICH WB","ENGLAND",193,85,27,"B",76
"CF","G. LAPADULA","BENEVENTO","ITALY",178,68,30,"C",76
"CMF","B. DEJAEGERE","TOULOUSE","BELGIUM",174,67,29,"C",76
"RB","T. FOKET","STADE DE REIMS","BELGIUM",177,74,26,"D",76
"CMF","V. BUYALSKYI","DYNAMO KYIV","UKRAINE",170,61,27,"C",76
"RB","LEKUE","BILBAO BR","SPAIN",180,70,27,"C",76
"DMF","MIKEL VESGA","BILBAO BR","SPAIN",191,84,27,"C",76
"CB","F. LUSTENBERGER","YOUNG BOYS","SWITZERLAND",180,70,32,"B",76
"LB","F. NOVÁK","FENERBAHÇE","CZECH REPUBLIC",184,77,30,"C",76
"CB","E. SVIATCHENKO","MIDTJYLLAND","DENMARK",184,82,29,"B",76
"LWF","M. PJACA","GENOA","CROATIA",186,81,25,"D",76
"RB","F. GUILBERT","ASTON RB","FRANCE",178,70,26,"C",76
"LWF","TRÉZÉGUET","ASTON RB","EGYPT",179,80,26,"C",76
"DMF","JAIR","ATLÉTICO MINEIRO","BRAZIL",178,75,26,"B",76
"RMF","S. THIOUB","ANGERS","SENEGAL",179,75,25,"C",76
"RMF","JASON","VALENCIA BN","SPAIN",178,65,26,"D",76
"DMF","THIAGO MAIA","FLAMENGO","BRAZIL",179,79,23,"C",76
"LWF","T. BONGONDA","GENK","BELGIUM",177,68,25,"C",76
"CF","E. ÜNAL","GETAFE A","TURKEY",185,75,23,"C",76
"RB","J. KENNY","EVERTON B","ENGLAND",176,67,23,"C",76
"CB","MARCÃO TEIXEIRA","GALATASARAY","BRAZIL",185,81,24,"B",76
"CB","S. SALCEDO","HURACÁN","PARAGUAY",183,80,23,"C",76
"RB","P. GHIGLIONE","GENOA","ITALY",191,80,23,"D",76
"CB","P. CISSÉ","OLYMPIAKOS PIRAEUS","SENEGAL",197,93,25,"C",76
"RWF","MAMA BALDÉ","DIJON","GUINEA-BISSAU",184,69,25,"C",76
"CF","K. IHEANACHO","LEICESTER B","NIGERIA",185,82,24,"C",76
"LB","B. PITTÓN","SAN LORENZO","ARGENTINA",175,73,27,"C",76
"CF","SERGI GUARDIOLA","VALLADOLID MB","SPAIN",180,77,29,"C",76
"CMF","RUBÉN ALCARAZ","VALLADOLID MB","SPAIN",183,81,29,"C",76
"CMF","R. KRUNIC","MILANO RN","BOSNIA AND HERZEGOVINA",184,74,27,"C",76
"LB","F. MAOUASSA","RENNES","FRANCE",170,73,22,"C",76
"DMF","A. TAMEZE","HELLAS VERONA","FRANCE",180,78,26,"B",76
"LB","DALBERT","LOMBARDIA NA","BRAZIL",181,70,27,"C",76
"LWF","A. MITRITA","Free Agents","ROMANIA",170,65,25,"C",76
"AMF","J. BARRERA","ATLÉTICO NACIONAL","COLOMBIA",170,73,25,"D",76
"LWF","É. FLORES","Free Agents","PERU",176,73,26,"C",76
"LB","M. OLIVERA","GETAFE A","URUGUAY",184,78,23,"C",76
"LB","M. SARACCHI","GALATASARAY","URUGUAY",172,69,22,"C",76
"DMF","R. PIRIS DA MOTTA","GENÇLERBIRLIGI","PARAGUAY",178,72,26,"C",76
"RWF","ANTONIO PUERTAS","GRANADA RB","SPAIN",183,77,28,"E",76
"RB","MIRAMÓN","LEVANTE RA","SPAIN",176,74,31,"C",76
"LMF","TONI VILLA","VALLADOLID MB","SPAIN",171,61,25,"C",76
"RB","K. AMIAN","TOULOUSE","FRANCE",180,78,22,"C",76
